#personID	#imageURL	#shortDescription
179	https://upload.wikimedia.org/wikipedia/commons/7/72/St._Arnulf_von_Metz.jpg	Arnulf von Metz, frz. Arnoul de Metz, auch Saint Arnould, Arnoulf (* 13. August 582? in Lay-Saint-Christophe bei Nancy; † 18. Juli wohl 640 bei Remiremont) war Stammvater und Hausheiliger der Karolinger. Von 614 bis 629 war er Bischof von Metz.
180		Pippin der Ältere oder Pippin von Landen (* um 580; † 640) war ab 615/625 fränkischer Hausmeier in Austrien unter drei Merowinger-Königen. Er ist der Stammvater der Pippiniden und wurde durch seine Tochter Begga zum Vorfahren des späteren Herrschergeschlechts der Karolinger.
181		Ansegisel (auch Ansegisal, Ansegise, Anchise, Ansguise) (* um 610; † nach 657 aber vor 679, er wird um 662 erwähnt, führt den Titel eines domesticus, ist aber 679 bereits tot, von seinen Feinden erschlagen) war ein Sohn des Bischofs Arnulf von Metz.
182		Grimoald der Ältere (* um 615 oder 616; † 656, 657 oder 662 in Paris) war ein Fränkischer Hausmeier aus dem Geschlecht der Karolinger und Pippiniden, Sohn Pippins des Älteren.
183		Chlodulf auch Flodulf, Glodulf, Childulf († 8. Juni 696 oder 697 in Metz) war vom 19. Mai 656 bis zu seinem Tode Bischof von Metz. Das Fest des Heiligen wird am 8. Juni begangen.
184		Pippin der Mittlere oder Pippin von Herstal lat. Pippinus (* um 635; † 16. Dezember 714 in Jupille bei Lüttich) aus dem Geschlecht der Arnulfinger war von 679 bis 714 der tatsächliche Machthaber im Frankenreich, seit 679 Hausmeier von Austrasien, seit 680 als dux (Herzog) von Austrasien, ab 688/689 als Hausmeier von Neustrien (principalis regimen majorum domus) und seit 688 Hausmeier von Burgund.
204	https://upload.wikimedia.org/wikipedia/commons/4/4e/GrabplatteLudwig_Ludwig_III_Kunigunde.JPG	Ludwig III. der Jüngere (* um 835 ; † 20. Januar 882 in Frankfurt am Main) war der zweite Sohn von Ludwig dem Deutschen und Hemma.
278	https://upload.wikimedia.org/wikipedia/commons/f/fc/Gebhard_I_Bischof_von_Eichstätt%2C_als_Victor_II_Papst.JPG	Viktor II., auch Victor II. (* um 1020; † 28. Juli 1057 in Arezzo) war als Gebhard I. Bischof von Eichstätt von 1042 bis 1057 und als fünfter Deutscher von 1055 bis 1057 Papst.
279	https://upload.wikimedia.org/wikipedia/commons/7/7f/Pope_Stephen_IX.jpg	Stephan IX. (X.), ursprünglich Friedrich von Lothringen (* um 1020 in Lothringen; † 29. März 1058 in Florenz) war ein deutscher Papst von August 1057 bis zu seinem Tode.
280	https://de.wikipedia.org/wiki/Lothar_III._(HRR)#/media/File:Lothar_III..JPG	Lothar III. (* vor dem 9. Juni 1075; † 3. Dezember 1137 bei Breitenwang, Tirol), auch Lothar von Süpplingenburg oder Lothar von Supplinburg genannt, war Herzog von Sachsen sowie ab 1125 König und ab 1133 Kaiser des römisch-deutschen Reiches.
281	https://upload.wikimedia.org/wikipedia/commons/1/13/Konrad_III_Miniatur_13_Jahrhundert.jpg	Konrad III. (* 1093 oder 1094; † 15. Februar 1152 in Bamberg) aus dem Adelsgeschlecht der Staufer war 1116/20 Herzog in Franken, 1127–1135 Gegenkönig von Lothar III. und 1138–1152 König im römisch-deutschen Reich.
282		Friedrich I., genannt Barbarossa (* um 1122; † 10. Juni 1190 im Fluss Saleph nahe Seleucia, Kleinarmenien), aus dem Adelsgeschlecht der Staufer war von 1147 bis 1152 als Friedrich III. Herzog von Schwaben, von 1152 bis 1190 römisch-deutscher König und von 1155 bis 1190 Kaiser des römisch-deutschen Reiches.
